latitud,longitud,rad_2019,rad_2023,delta_historico,cagr_pct,tendencia,zona_expansion,rad_2026,delta_vs_2023_2026,rad_2027,delta_vs_2023_2027,rad_2028,delta_vs_2023_2028,rad_2029,delta_vs_2023_2029,rad_2030,delta_vs_2023_2030,nivel_urbano
-11.85,-76.89684,0.65,0.7,0.05,1.771,crecimiento_moderado,0,0.0,-0.7,0.0,-0.7,0.0,-0.7,0.0,-0.7,0.0,-0.7,rural
-11.85,-76.88842,0.59,0.7,0.11,4.477,crecimiento_moderado,0,0.0,-0.7,0.0,-0.7,0.0,-0.7,0.0,-0.7,0.0,-0.7,rural
-11.85,-76.88,0.62,0.62,0.0,0.2,estable,0,0.0,-0.62,0.0,-0.62,0.0,-0.62,0.0,-0.62,0.0,-0.62,rural
-11.85,-76.87158,0.58,0.58,0.0,0.078,estable,0,0.0,-0.58,0.0,-0.58,0.0,-0.58,0.0,-0.58,0.0,-0.58,rural
-11.85,-76.86316,0.0,0.59,0.0,393.419,crecimiento_alto,0,0.0,-0.59,0.0,-0.59,0.0,-0.59,0.0,-0.59,0.0,-0.59,rural
-11.85,-76.85474,0.55,0.56,0.02,0.691,estable,0,0.0,-0.56,0.0,-0.56,0.0,-0.56,0.0,-0.56,0.0,-0.56,rural
-11.85,-76.84632,0.0,0.51,0.0,375.9,crecimiento_alto,0,0.0,-0.51,0.0,-0.51,0.0,-0.51,0.0,-0.51,0.0,-0.51,rural
-11.85,-76.83789,0.0,0.0,0.0,0.0,estable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.85,-76.82947,0.0,0.55,0.0,383.172,crecimiento_alto,0,0.0,-0.55,0.0,-0.55,0.0,-0.55,0.0,-0.55,0.0,-0.55,rural
-11.85,-76.82105,0.0,0.63,0.0,400.246,crecimiento_alto,0,0.0,-0.63,0.0,-0.63,0.0,-0.63,0.0,-0.63,0.0,-0.63,rural
-11.85,-76.81263,0.0,0.52,0.0,376.997,crecimiento_alto,0,0.0,-0.52,0.0,-0.52,0.0,-0.52,0.0,-0.52,0.0,-0.52,rural
-11.85,-76.80421,0.0,0.51,0.0,375.203,crecimiento_alto,0,0.0,-0.51,0.0,-0.51,0.0,-0.51,0.0,-0.51,0.0,-0.51,rural
-11.85843,-77.2,0.68,2.78,2.09,41.895,crecimiento_alto,0,0.0,-2.78,0.0,-2.78,0.0,-2.78,0.0,-2.78,0.0,-2.78,rural
-11.85843,-77.19158,0.81,3.26,2.46,41.856,crecimiento_alto,0,0.0,-3.26,0.0,-3.26,0.0,-3.26,0.0,-3.26,0.0,-3.26,rural
-11.85843,-77.18316,3.84,4.34,0.5,3.121,crecimiento_moderado,0,5.57,1.23,5.69,1.35,5.82,1.48,5.95,1.6,6.07,1.73,rural
-11.85843,-77.17474,3.48,4.33,0.85,5.615,crecimiento_alto,0,3.92,-0.41,4.13,-0.19,4.35,0.02,4.56,0.23,4.77,0.44,rural
-11.85843,-77.16632,4.81,5.73,0.92,4.463,crecimiento_moderado,0,6.67,0.95,6.9,1.18,7.13,1.41,7.36,1.63,7.59,1.86,rural
-11.85843,-77.15789,8.36,12.31,3.96,10.174,crecimiento_alto,0,15.42,3.11,16.41,4.1,17.4,5.09,18.39,6.08,19.38,7.07,peri-urbano
-11.85843,-77.14947,22.42,25.99,3.58,3.769,crecimiento_moderado,0,26.89,0.9,27.79,1.79,28.68,2.69,29.57,3.58,30.47,4.48,peri-urbano
-11.85843,-77.14105,36.58,52.05,15.47,9.215,crecimiento_alto,0,58.04,5.99,61.91,9.86,65.77,13.72,69.64,17.59,73.51,21.46,urbano
-11.85843,-77.13263,73.6,76.78,3.18,1.062,crecimiento_moderado,0,69.55,-7.23,70.34,-6.44,71.14,-5.64,71.93,-4.85,72.72,-4.06,urbano_denso
-11.85843,-77.12421,55.62,62.75,7.13,3.061,crecimiento_moderado,0,58.56,-4.19,60.35,-2.4,62.13,-0.62,63.91,1.16,65.69,2.94,urbano_denso
-11.85843,-77.11579,23.03,29.78,6.74,6.631,crecimiento_alto,0,33.04,3.27,34.73,4.95,36.41,6.64,38.1,8.33,39.79,10.01,peri-urbano
-11.85843,-77.10737,14.81,20.2,5.39,8.074,crecimiento_alto,0,24.13,3.93,25.48,5.28,26.83,6.63,28.17,7.98,29.52,9.33,peri-urbano
-11.85843,-77.09895,27.23,53.22,25.99,18.235,crecimiento_alto,0,67.63,14.41,74.12,20.91,80.62,27.4,87.12,33.9,93.61,40.4,urbano
-11.85843,-77.09053,39.79,47.75,7.96,4.663,crecimiento_moderado,0,49.24,1.49,51.23,3.48,53.22,5.47,55.21,7.46,57.2,9.45,urbano
-11.85843,-77.08211,61.54,75.57,14.03,5.27,crecimiento_alto,0,78.66,3.09,82.17,6.6,85.68,10.11,89.18,13.61,92.69,17.12,urbano_denso
-11.85843,-77.07368,51.18,66.42,15.24,6.732,crecimiento_alto,0,74.48,8.06,78.29,11.87,82.1,15.68,85.91,19.49,89.72,23.3,urbano_denso
-11.85843,-77.06526,38.68,54.35,15.67,8.878,crecimiento_alto,0,66.17,11.82,70.09,15.74,74.01,19.66,77.93,23.58,81.85,27.5,urbano
-11.85843,-77.05684,57.24,71.19,13.95,5.604,crecimiento_alto,0,79.17,7.98,82.66,11.47,86.15,14.95,89.64,18.44,93.12,21.93,urbano_denso
-11.85843,-77.04842,59.94,74.0,14.05,5.406,crecimiento_alto,0,78.9,4.91,82.42,8.42,85.93,11.93,89.44,15.44,92.95,18.96,urbano_denso
-11.85843,-77.04,41.59,49.77,8.17,4.587,crecimiento_moderado,0,54.47,4.7,56.51,6.74,58.55,8.79,60.6,10.83,62.64,12.87,urbano
-11.85843,-77.03158,28.25,47.34,19.1,13.783,crecimiento_alto,0,60.7,13.36,65.48,18.13,70.25,22.91,75.03,27.68,79.8,32.46,urbano
-11.85843,-77.02316,48.02,51.08,3.06,1.555,crecimiento_moderado,0,49.23,-1.86,49.99,-1.09,50.76,-0.33,51.52,0.44,52.28,1.2,urbano
-11.85843,-77.01474,39.72,41.43,1.71,1.06,crecimiento_moderado,0,39.51,-1.93,39.93,-1.5,40.36,-1.07,40.79,-0.64,41.22,-0.22,urbano
-11.85843,-77.00632,11.44,11.76,0.32,0.684,estable,0,12.26,0.51,12.34,0.58,12.42,0.66,12.5,0.74,12.58,0.82,peri-urbano
-11.85843,-76.99789,4.34,7.61,3.27,15.083,crecimiento_alto,0,10.15,2.54,10.97,3.35,11.78,4.17,12.6,4.99,13.42,5.81,rural
-11.85843,-76.98947,3.02,4.82,1.81,12.429,crecimiento_alto,0,6.12,1.29,6.57,1.75,7.02,2.2,7.47,2.65,7.92,3.1,rural
-11.85843,-76.98105,2.54,3.81,1.27,10.692,crecimiento_alto,0,4.62,0.81,4.94,1.13,5.26,1.45,5.58,1.77,5.9,2.09,rural
-11.85843,-76.97263,2.38,3.28,0.9,8.331,crecimiento_alto,0,3.9,0.63,4.13,0.85,4.35,1.08,4.58,1.3,4.8,1.52,rural
-11.85843,-76.96421,1.93,3.37,1.44,14.907,crecimiento_alto,0,4.42,1.05,4.78,1.41,5.14,1.77,5.49,2.13,5.85,2.48,rural
-11.85843,-76.95579,2.33,3.78,1.45,12.816,crecimiento_alto,0,4.89,1.11,5.25,1.47,5.61,1.83,5.97,2.19,6.34,2.55,rural
-11.85843,-76.94737,2.17,3.2,1.03,10.139,crecimiento_alto,0,4.11,0.91,4.37,1.17,4.63,1.43,4.88,1.68,5.14,1.94,rural
-11.85843,-76.93895,1.36,2.12,0.76,11.658,crecimiento_alto,0,2.49,0.38,2.68,0.57,2.87,0.75,3.06,0.94,3.25,1.13,rural
-11.85843,-76.93053,1.17,1.71,0.54,10.005,crecimiento_alto,0,1.94,0.23,2.07,0.36,2.21,0.5,2.34,0.63,2.48,0.77,rural
-11.85843,-76.92211,0.95,1.39,0.44,9.895,crecimiento_alto,0,1.56,0.17,1.67,0.28,1.78,0.39,1.89,0.5,2.0,0.61,rural
-11.85843,-76.91368,0.78,1.12,0.34,9.596,crecimiento_alto,0,1.28,0.16,1.36,0.24,1.45,0.33,1.54,0.41,1.62,0.5,rural
-11.85843,-76.90526,0.69,1.01,0.32,9.962,crecimiento_alto,0,0.0,-1.01,0.0,-1.01,0.0,-1.01,0.0,-1.01,0.0,-1.01,rural
-11.85843,-76.89684,0.62,0.86,0.24,8.532,crecimiento_alto,0,0.0,-0.86,0.0,-0.86,0.0,-0.86,0.0,-0.86,0.0,-0.86,rural
-11.85843,-76.88842,0.73,0.56,-0.18,-6.617,decrecimiento,0,0.0,-0.56,0.0,-0.56,0.0,-0.56,0.0,-0.56,0.0,-0.56,rural
-11.85843,-76.88,0.65,0.57,-0.08,-3.189,decrecimiento,0,0.0,-0.57,0.0,-0.57,0.0,-0.57,0.0,-0.57,0.0,-0.57,rural
-11.85843,-76.87158,0.69,0.72,0.03,0.909,estable,0,0.0,-0.72,0.0,-0.72,0.0,-0.72,0.0,-0.72,0.0,-0.72,rural
-11.85843,-76.86316,0.56,0.64,0.08,3.365,crecimiento_moderado,0,0.0,-0.64,0.0,-0.64,0.0,-0.64,0.0,-0.64,0.0,-0.64,rural
-11.85843,-76.85474,0.55,0.8,0.25,9.627,crecimiento_alto,0,0.0,-0.8,0.0,-0.8,0.0,-0.8,0.0,-0.8,0.0,-0.8,rural
-11.85843,-76.84632,0.6,0.65,0.04,1.781,crecimiento_moderado,0,0.0,-0.65,0.0,-0.65,0.0,-0.65,0.0,-0.65,0.0,-0.65,rural
-11.85843,-76.83789,0.52,0.65,0.13,5.736,crecimiento_alto,0,0.0,-0.65,0.0,-0.65,0.0,-0.65,0.0,-0.65,0.0,-0.65,rural
-11.85843,-76.82947,0.0,0.6,0.0,395.811,crecimiento_alto,0,0.0,-0.6,0.0,-0.6,0.0,-0.6,0.0,-0.6,0.0,-0.6,rural
-11.85843,-76.82105,0.0,0.0,0.0,0.0,estable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.85843,-76.81263,0.0,0.73,0.0,419.925,crecimiento_alto,0,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,rural
-11.85843,-76.80421,0.0,0.0,0.0,0.0,estable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.86687,-77.2,0.42,0.89,0.46,20.292,crecimiento_alto,0,0.0,-0.89,0.0,-0.89,0.0,-0.89,0.0,-0.89,0.0,-0.89,rural
-11.86687,-77.19158,0.7,0.76,0.07,2.263,crecimiento_moderado,0,0.0,-0.76,0.0,-0.76,0.0,-0.76,0.0,-0.76,0.0,-0.76,rural
-11.86687,-77.18316,3.35,2.62,-0.73,-5.946,decrecimiento,0,0.0,-2.62,0.0,-2.62,0.0,-2.62,0.0,-2.62,0.0,-2.62,rural
-11.86687,-77.17474,0.46,0.62,0.16,7.716,crecimiento_alto,0,0.7,0.08,0.74,0.12,0.78,0.16,0.82,0.2,0.86,0.24,rural
-11.86687,-77.16632,8.33,5.5,-2.83,-9.861,decrecimiento,0,2.87,-2.63,2.16,-3.34,1.45,-4.04,0.75,-4.75,0.04,-5.46,rural
-11.86687,-77.15789,7.97,9.84,1.86,5.395,crecimiento_alto,0,15.33,5.49,15.8,5.96,16.26,6.42,16.73,6.89,17.19,7.36,rural
-11.86687,-77.14947,24.37,41.24,16.88,14.06,crecimiento_alto,0,50.84,9.6,55.06,13.82,59.28,18.04,63.5,22.26,67.72,26.48,urbano
-11.86687,-77.14105,40.74,47.27,6.53,3.786,crecimiento_moderado,0,48.84,1.57,50.48,3.2,52.11,4.83,53.74,6.47,55.37,8.1,urbano
-11.86687,-77.13263,82.33,93.11,10.78,3.124,crecimiento_moderado,0,89.26,-3.85,91.95,-1.16,94.64,1.54,97.34,4.23,100.03,6.92,urbano_denso
-11.86687,-77.12421,64.22,82.81,18.6,6.564,crecimiento_alto,0,86.4,3.58,91.05,8.23,95.7,12.88,100.34,17.53,104.99,22.18,urbano_denso
-11.86687,-77.11579,56.95,59.91,2.96,1.275,crecimiento_moderado,0,53.43,-6.49,54.17,-5.75,54.91,-5.01,55.65,-4.27,56.39,-3.53,urbano
-11.86687,-77.10737,21.72,27.03,5.32,5.626,crecimiento_alto,0,28.92,1.88,30.25,3.21,31.57,4.54,32.9,5.87,34.23,7.2,peri-urbano
-11.86687,-77.09895,19.01,29.63,10.63,11.741,crecimiento_alto,0,35.45,5.81,38.1,8.47,40.76,11.13,43.42,13.78,46.07,16.44,peri-urbano
-11.86687,-77.09053,37.32,43.53,6.21,3.923,crecimiento_moderado,0,43.67,0.14,45.22,1.69,46.78,3.24,48.33,4.8,49.88,6.35,urbano
-11.86687,-77.08211,47.8,42.23,-5.57,-3.049,decrecimiento,0,34.6,-7.63,33.21,-9.02,31.82,-10.41,30.43,-11.81,29.03,-13.2,urbano
-11.86687,-77.07368,62.41,53.45,-8.96,-3.799,decrecimiento,0,41.92,-11.54,39.68,-13.78,37.44,-16.01,35.2,-18.25,32.96,-20.49,urbano
-11.86687,-77.06526,40.58,48.43,7.84,4.517,crecimiento_moderado,0,53.22,4.79,55.18,6.75,57.14,8.71,59.1,10.67,61.06,12.63,urbano
-11.86687,-77.05684,51.21,66.51,15.3,6.751,crecimiento_alto,0,76.78,10.27,80.6,14.09,84.43,17.92,88.25,21.74,92.07,25.56,urbano_denso
-11.86687,-77.04842,59.33,77.82,18.49,7.018,crecimiento_alto,0,86.56,8.74,91.18,13.36,95.8,17.98,100.42,22.61,105.05,27.23,urbano_denso
-11.86687,-77.04,45.17,60.11,14.95,7.407,crecimiento_alto,0,67.72,7.6,71.45,11.34,75.19,15.08,78.93,18.81,82.66,22.55,urbano_denso
-11.86687,-77.03158,50.94,59.75,8.81,4.069,crecimiento_moderado,0,62.39,2.64,64.59,4.85,66.79,7.05,69.0,9.25,71.2,11.45,urbano
-11.86687,-77.02316,58.1,57.42,-0.67,-0.292,estable,0,52.1,-5.32,51.94,-5.49,51.77,-5.65,51.6,-5.82,51.43,-5.99,urbano
