latitud,longitud,rad_2019,rad_2023,delta_historico,cagr_pct,tendencia,zona_expansion,rad_2026,delta_vs_2023_2026,rad_2027,delta_vs_2023_2027,rad_2028,delta_vs_2023_2028,rad_2029,delta_vs_2023_2029,rad_2030,delta_vs_2023_2030,nivel_urbano
-11.93434,-77.08211,80.12,99.89,19.77,5.669,crecimiento_alto,0,103.71,3.82,108.66,8.77,113.6,13.71,118.54,18.65,123.49,23.6,urbano_denso
-11.93434,-77.07368,74.91,95.91,20.99,6.371,crecimiento_alto,0,106.26,10.36,111.51,15.6,116.76,20.85,122.01,26.1,127.26,31.35,urbano_denso
-11.93434,-77.06526,90.26,104.18,13.92,3.651,crecimiento_moderado,0,106.22,2.04,109.7,5.52,113.18,9.0,116.66,12.48,120.14,15.96,urbano_denso
-11.93434,-77.05684,65.51,86.18,20.67,7.096,crecimiento_alto,0,96.79,10.62,101.96,15.78,107.13,20.95,112.29,26.12,117.46,31.28,urbano_denso
-11.93434,-77.04842,45.59,61.21,15.63,7.647,crecimiento_alto,0,74.12,12.91,78.03,16.82,81.94,20.72,85.84,24.63,89.75,28.54,urbano_denso
-11.93434,-77.04,40.62,46.84,6.22,3.627,crecimiento_moderado,0,47.23,0.39,48.79,1.95,50.34,3.5,51.9,5.06,53.45,6.61,urbano
-11.93434,-77.03158,16.76,21.9,5.14,6.922,crecimiento_alto,0,24.67,2.77,25.95,4.06,27.24,5.34,28.53,6.63,29.81,7.91,peri-urbano
-11.93434,-77.02316,11.12,20.07,8.95,15.907,crecimiento_alto,0,25.83,5.76,28.07,8.0,30.31,10.24,32.55,12.47,34.79,14.71,peri-urbano
-11.93434,-77.01474,30.98,47.35,16.38,11.193,crecimiento_alto,0,58.31,10.95,62.4,15.05,66.49,19.14,70.59,23.23,74.68,27.33,urbano
-11.93434,-77.00632,38.26,57.71,19.45,10.822,crecimiento_alto,0,69.34,11.63,74.2,16.49,79.06,21.35,83.92,26.21,88.79,31.08,urbano
-11.93434,-76.99789,53.92,66.55,12.63,5.402,crecimiento_alto,0,70.53,3.98,73.69,7.14,76.85,10.29,80.01,13.45,83.16,16.61,urbano_denso
-11.93434,-76.98947,56.58,62.83,6.24,2.652,crecimiento_moderado,0,59.82,-3.01,61.38,-1.45,62.94,0.12,64.5,1.68,66.07,3.24,urbano_denso
-11.93434,-76.98105,70.13,71.52,1.39,0.492,estable,0,62.94,-8.57,63.29,-8.22,63.64,-7.88,63.99,-7.53,64.33,-7.18,urbano_denso
-11.93434,-76.97263,55.46,62.42,6.97,3.003,crecimiento_moderado,0,59.96,-2.47,61.7,-0.73,63.44,1.02,65.18,2.76,66.92,4.5,urbano_denso
-11.93434,-76.96421,34.57,44.74,10.16,6.655,crecimiento_alto,0,48.94,4.2,51.48,6.74,54.02,9.28,56.56,11.82,59.1,14.37,urbano
-11.93434,-76.95579,21.47,33.7,12.24,11.937,crecimiento_alto,0,44.04,10.34,47.1,13.4,50.16,16.46,53.22,19.52,56.28,22.58,urbano
-11.93434,-76.94737,12.92,16.22,3.3,5.85,crecimiento_alto,0,17.66,1.44,18.48,2.26,19.31,3.09,20.13,3.91,20.96,4.74,peri-urbano
-11.93434,-76.93895,4.41,6.0,1.59,8.002,crecimiento_alto,0,7.14,1.14,7.54,1.54,7.94,1.94,8.34,2.34,8.73,2.73,rural
-11.93434,-76.93053,2.85,4.58,1.73,12.591,crecimiento_alto,0,5.71,1.13,6.15,1.57,6.58,2.0,7.01,2.43,7.44,2.86,rural
-11.93434,-76.92211,2.41,4.5,2.1,16.965,crecimiento_alto,0,5.8,1.3,6.33,1.83,6.85,2.35,7.38,2.88,7.9,3.4,rural
-11.93434,-76.91368,2.36,4.29,1.93,16.119,crecimiento_alto,0,5.38,1.09,5.86,1.57,6.34,2.05,6.82,2.54,7.31,3.02,rural
-11.93434,-76.90526,2.33,3.35,1.02,9.468,crecimiento_alto,0,3.89,0.55,4.15,0.8,4.4,1.06,4.66,1.31,4.91,1.56,rural
-11.93434,-76.89684,3.13,6.6,3.47,20.512,crecimiento_alto,0,8.39,1.79,9.26,2.66,10.13,3.53,11.0,4.4,11.86,5.26,rural
-11.93434,-76.88842,8.29,24.68,16.39,31.352,crecimiento_alto,0,33.85,9.16,37.94,13.26,42.04,17.36,46.14,21.46,50.24,25.55,peri-urbano
-11.93434,-76.88,6.61,11.89,5.29,15.824,crecimiento_alto,0,14.11,2.21,15.43,3.54,16.75,4.86,18.07,6.18,19.39,7.5,peri-urbano
-11.93434,-76.87158,3.04,7.6,4.56,25.784,crecimiento_alto,0,10.12,2.52,11.26,3.66,12.4,4.8,13.54,5.94,14.68,7.08,rural
-11.93434,-76.86316,2.01,3.89,1.88,17.982,crecimiento_alto,0,5.02,1.12,5.49,1.59,5.96,2.06,6.43,2.53,6.9,3.01,rural
-11.93434,-76.85474,1.67,2.92,1.24,14.911,crecimiento_alto,0,3.7,0.78,4.01,1.09,4.32,1.4,4.63,1.71,4.94,2.02,rural
-11.93434,-76.84632,1.53,2.36,0.83,11.468,crecimiento_alto,0,2.85,0.49,3.06,0.69,3.27,0.9,3.47,1.11,3.68,1.32,rural
-11.93434,-76.83789,1.41,2.23,0.82,12.093,crecimiento_alto,0,2.63,0.39,2.83,0.6,3.04,0.8,3.24,1.01,3.45,1.21,rural
-11.93434,-76.82947,1.42,2.18,0.75,11.207,crecimiento_alto,0,2.5,0.32,2.68,0.51,2.87,0.69,3.06,0.88,3.25,1.07,rural
-11.93434,-76.82105,1.22,2.17,0.95,15.441,crecimiento_alto,0,2.7,0.53,2.93,0.77,3.17,1.0,3.41,1.24,3.64,1.48,rural
-11.93434,-76.81263,1.04,1.57,0.53,10.777,crecimiento_alto,0,1.88,0.31,2.01,0.44,2.14,0.57,2.27,0.7,2.41,0.84,rural
-11.93434,-76.80421,0.98,1.62,0.65,13.515,crecimiento_alto,0,2.0,0.38,2.16,0.54,2.32,0.7,2.49,0.86,2.65,1.02,rural
-11.94277,-77.2,0.71,5.82,5.11,69.137,crecimiento_alto,0,0.0,-5.82,0.0,-5.82,0.0,-5.82,0.0,-5.82,0.0,-5.82,rural
-11.94277,-77.19158,0.74,4.9,4.17,60.5,crecimiento_alto,0,0.0,-4.9,0.0,-4.9,0.0,-4.9,0.0,-4.9,0.0,-4.9,rural
-11.94277,-77.18316,2.41,0.0,0.0,-85.733,decrecimiento,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.94277,-77.17474,2.16,0.0,0.0,-85.33,decrecimiento,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.94277,-77.16632,2.49,6.38,3.89,26.478,crecimiento_alto,0,0.0,-6.38,0.0,-6.38,0.0,-6.38,0.0,-6.38,0.0,-6.38,rural
-11.94277,-77.15789,3.34,8.69,5.35,27.013,crecimiento_alto,0,0.0,-8.69,0.0,-8.69,0.0,-8.69,0.0,-8.69,0.0,-8.69,rural
-11.94277,-77.14947,10.34,10.51,0.17,0.4,estable,0,19.5,8.99,19.54,9.03,19.58,9.07,19.62,9.12,19.66,9.16,peri-urbano
-11.94277,-77.14105,38.63,66.85,28.22,14.696,crecimiento_alto,0,90.37,23.52,97.43,30.58,104.48,37.63,111.54,44.69,118.59,51.74,urbano_denso
-11.94277,-77.13263,34.5,56.44,21.93,13.089,crecimiento_alto,0,71.84,15.4,77.32,20.89,82.81,26.37,88.29,31.85,93.77,37.34,urbano
-11.94277,-77.12421,18.71,23.85,5.14,6.262,crecimiento_alto,0,29.8,5.94,31.08,7.23,32.37,8.52,33.66,9.8,34.94,11.09,peri-urbano
-11.94277,-77.11579,27.37,20.84,-6.53,-6.584,decrecimiento,0,16.67,-4.17,15.04,-5.81,13.4,-7.44,11.77,-9.07,10.14,-10.7,peri-urbano
-11.94277,-77.10737,38.08,33.3,-4.78,-3.297,decrecimiento,0,28.08,-5.22,26.89,-6.41,25.69,-7.61,24.5,-8.8,23.3,-10.0,urbano
-11.94277,-77.09895,82.33,87.51,5.18,1.536,crecimiento_moderado,0,85.89,-1.62,87.19,-0.32,88.48,0.97,89.77,2.27,91.07,3.56,urbano_denso
-11.94277,-77.09053,91.55,109.41,17.86,4.556,crecimiento_moderado,0,119.57,10.16,124.04,14.62,128.5,19.09,132.97,23.55,137.43,28.02,urbano_denso
-11.94277,-77.08211,99.42,118.71,19.28,4.532,crecimiento_moderado,0,117.53,-1.17,122.35,3.65,127.17,8.47,132.0,13.29,136.82,18.11,urbano_denso
-11.94277,-77.07368,98.43,103.38,4.95,1.233,crecimiento_moderado,0,94.97,-8.41,96.2,-7.17,97.44,-5.94,98.68,-4.7,99.91,-3.46,urbano_denso
-11.94277,-77.06526,101.58,111.49,9.91,2.354,crecimiento_moderado,0,104.51,-6.98,106.98,-4.51,109.46,-2.03,111.94,0.45,114.41,2.92,urbano_denso
-11.94277,-77.05684,68.57,91.97,23.4,7.616,crecimiento_alto,0,102.35,10.38,108.2,16.23,114.05,22.08,119.9,27.93,125.75,33.78,urbano_denso
-11.94277,-77.04842,33.77,35.9,2.13,1.54,crecimiento_moderado,0,39.75,3.85,40.28,4.38,40.81,4.91,41.34,5.45,41.87,5.98,urbano
-11.94277,-77.04,25.9,36.98,11.08,9.313,crecimiento_alto,0,44.01,7.03,46.78,9.8,49.55,12.57,52.32,15.34,55.09,18.11,urbano
-11.94277,-77.03158,18.07,20.5,2.43,3.204,crecimiento_moderado,0,20.64,0.14,21.24,0.75,21.85,1.35,22.46,1.96,23.07,2.57,peri-urbano
-11.94277,-77.02316,9.27,13.56,4.29,9.974,crecimiento_alto,0,17.15,3.59,18.22,4.67,19.3,5.74,20.37,6.81,21.44,7.88,peri-urbano
-11.94277,-77.01474,39.14,35.32,-3.82,-2.536,decrecimiento,0,31.77,-3.55,30.81,-4.5,29.86,-5.46,28.9,-6.41,27.95,-7.37,urbano
-11.94277,-77.00632,54.84,60.81,5.96,2.614,crecimiento_moderado,0,58.67,-2.14,60.16,-0.65,61.65,0.84,63.14,2.33,64.63,3.82,urbano_denso
-11.94277,-76.99789,62.88,76.81,13.92,5.127,crecimiento_alto,0,81.13,4.32,84.61,7.8,88.09,11.28,91.57,14.76,95.05,18.24,urbano_denso
-11.94277,-76.98947,75.68,90.57,14.88,4.59,crecimiento_moderado,0,91.84,1.27,95.56,4.99,99.28,8.72,103.0,12.44,106.72,16.16,urbano_denso
-11.94277,-76.98105,63.48,77.95,14.48,5.269,crecimiento_alto,0,79.7,1.74,83.32,5.36,86.93,8.98,90.55,12.6,94.17,16.22,urbano_denso
-11.94277,-76.97263,22.82,39.42,16.6,14.64,crecimiento_alto,0,48.77,9.35,52.92,13.5,57.07,17.65,61.21,21.8,65.36,25.94,urbano
-11.94277,-76.96421,19.36,22.74,3.38,4.106,crecimiento_moderado,0,24.57,1.83,25.41,2.68,26.26,3.52,27.1,4.37,27.95,5.21,peri-urbano
-11.94277,-76.95579,15.79,23.07,7.29,9.951,crecimiento_alto,0,28.79,5.72,30.61,7.54,32.43,9.36,34.26,11.18,36.08,13.0,peri-urbano
-11.94277,-76.94737,6.58,9.02,2.44,8.197,crecimiento_alto,0,12.26,3.25,12.87,3.86,13.48,4.46,14.09,5.07,14.7,5.68,rural
-11.94277,-76.93895,3.67,7.51,3.84,19.59,crecimiento_alto,0,10.32,2.81,11.28,3.77,12.24,4.73,13.2,5.69,14.16,6.65,rural
-11.94277,-76.93053,2.79,5.05,2.26,15.993,crecimiento_alto,0,6.63,1.58,7.19,2.15,7.76,2.71,8.32,3.27,8.89,3.84,rural
-11.94277,-76.92211,2.56,4.33,1.76,13.981,crecimiento_alto,0,5.43,1.1,5.87,1.54,6.32,1.99,6.76,2.43,7.2,2.87,rural
-11.94277,-76.91368,2.38,3.67,1.29,11.41,crecimiento_alto,0,4.49,0.82,4.81,1.14,5.13,1.46,5.45,1.78,5.77,2.1,rural
-11.94277,-76.90526,2.71,4.77,2.07,15.233,crecimiento_alto,0,5.93,1.16,6.45,1.67,6.96,2.19,7.48,2.71,8.0,3.22,rural
-11.94277,-76.89684,3.62,8.98,5.36,25.503,crecimiento_alto,0,11.97,2.99,13.31,4.33,14.65,5.67,15.99,7.01,17.33,8.35,rural
-11.94277,-76.88842,13.42,24.59,11.17,16.347,crecimiento_alto,0,28.33,3.74,31.12,6.53,33.91,9.32,36.7,12.11,39.5,14.91,peri-urbano
-11.94277,-76.88,4.47,8.86,4.4,18.692,crecimiento_alto,0,11.15,2.29,12.25,3.39,13.35,4.49,14.45,5.59,15.55,6.68,rural
-11.94277,-76.87158,2.72,5.49,2.77,19.171,crecimiento_alto,0,7.13,1.64,7.83,2.33,8.52,3.03,9.21,3.72,9.9,4.41,rural
-11.94277,-76.86316,2.08,3.7,1.63,15.553,crecimiento_alto,0,4.76,1.06,5.17,1.47,5.58,1.87,5.98,2.28,6.39,2.69,rural
-11.94277,-76.85474,1.77,2.88,1.11,12.935,crecimiento_alto,0,3.56,0.68,3.83,0.96,4.11,1.24,4.39,1.51,4.67,1.79,rural
-11.94277,-76.84632,1.7,2.7,0.99,12.184,crecimiento_alto,0,3.29,0.6,3.54,0.84,3.79,1.09,4.04,1.34,4.29,1.59,rural
-11.94277,-76.83789,1.68,2.52,0.83,10.582,crecimiento_alto,0,3.03,0.51,3.24,0.72,3.45,0.93,3.66,1.14,3.87,1.35,rural
-11.94277,-76.82947,1.59,2.79,1.2,15.112,crecimiento_alto,0,3.6,0.81,3.9,1.11,4.2,1.41,4.5,1.71,4.8,2.01,rural
-11.94277,-76.82105,1.57,2.44,0.86,11.57,crecimiento_alto,0,2.95,0.51,3.16,0.73,3.38,0.94,3.59,1.16,3.81,1.37,rural
-11.94277,-76.81263,1.37,2.57,1.2,17.028,crecimiento_alto,0,3.28,0.72,3.58,1.02,3.88,1.32,4.18,1.62,4.48,1.92,rural
-11.94277,-76.80421,1.34,2.26,0.92,13.933,crecimiento_alto,0,2.82,0.56,3.05,0.79,3.28,1.02,3.51,1.25,3.74,1.48,rural
-11.9512,-77.2,0.65,0.94,0.29,9.843,crecimiento_alto,0,0.0,-0.94,0.0,-0.94,0.0,-0.94,0.0,-0.94,0.0,-0.94,rural
-11.9512,-77.19158,1.7,7.26,5.56,43.777,crecimiento_alto,0,0.0,-7.26,0.0,-7.26,0.0,-7.26,0.0,-7.26,0.0,-7.26,rural
-11.9512,-77.18316,2.13,5.95,3.81,29.196,crecimiento_alto,0,0.0,-5.95,0.0,-5.95,0.0,-5.95,0.0,-5.95,0.0,-5.95,rural
-11.9512,-77.17474,2.64,7.55,4.91,30.063,crecimiento_alto,0,0.0,-7.55,0.0,-7.55,0.0,-7.55,0.0,-7.55,0.0,-7.55,rural
-11.9512,-77.16632,3.99,8.66,4.66,21.33,crecimiento_alto,0,0.0,-8.66,0.0,-8.66,0.0,-8.66,0.0,-8.66,0.0,-8.66,rural
-11.9512,-77.15789,0.0,9.3,0.0,881.949,crecimiento_alto,0,0.0,-9.3,0.0,-9.3,0.0,-9.3,0.0,-9.3,0.0,-9.3,rural
-11.9512,-77.14947,8.74,15.31,6.57,15.037,crecimiento_alto,0,0.0,-15.31,0.0,-15.31,0.0,-15.31,0.0,-15.31,0.0,-15.31,peri-urbano
-11.9512,-77.14105,20.12,50.65,30.53,25.957,crecimiento_alto,0,78.34,27.68,85.97,35.32,93.6,42.95,101.23,50.58,108.87,58.21,urbano
-11.9512,-77.13263,50.82,73.09,22.27,9.509,crecimiento_alto,0,89.1,16.01,94.66,21.57,100.23,27.14,105.8,32.71,111.37,38.27,urbano_denso
-11.9512,-77.12421,19.64,32.72,13.09,13.616,crecimiento_alto,0,43.21,10.49,46.48,13.76,49.75,17.03,53.03,20.3,56.3,23.57,urbano
-11.9512,-77.11579,36.05,47.1,11.05,6.913,crecimiento_alto,0,53.24,6.14,56.0,8.91,58.76,11.67,61.53,14.43,64.29,17.19,urbano
-11.9512,-77.10737,75.5,85.24,9.74,3.079,crecimiento_moderado,0,86.93,1.69,89.36,4.12,91.8,6.55,94.23,8.99,96.67,11.42,urbano_denso
-11.9512,-77.09895,100.56,109.31,8.75,2.108,crecimiento_moderado,0,106.74,-2.57,108.93,-0.39,111.11,1.8,113.3,3.99,115.49,6.18,urbano_denso
-11.9512,-77.09053,104.24,111.87,7.63,1.783,crecimiento_moderado,0,106.0,-5.87,107.91,-3.96,109.82,-2.05,111.73,-0.15,113.64,1.76,urbano_denso
-11.9512,-77.08211,91.06,121.33,30.27,7.439,crecimiento_alto,0,131.19,9.86,138.76,17.43,146.33,25.0,153.9,32.56,161.46,40.13,centro_comercial
-11.9512,-77.07368,95.39,107.94,12.54,3.136,crecimiento_moderado,0,106.6,-1.34,109.74,1.8,112.87,4.93,116.01,8.07,119.14,11.21,urbano_denso
-11.9512,-77.06526,97.69,118.73,21.04,4.997,crecimiento_moderado,0,120.6,1.86,125.86,7.12,131.12,12.38,136.38,17.64,141.64,22.9,urbano_denso
-11.9512,-77.05684,67.44,72.26,4.81,1.739,crecimiento_moderado,0,73.31,1.05,74.52,2.26,75.72,3.46,76.92,4.67,78.13,5.87,urbano_denso
-11.9512,-77.04842,47.66,60.09,12.42,5.96,crecimiento_alto,0,65.09,5.0,68.19,8.11,71.3,11.21,74.4,14.32,77.51,17.42,urbano_denso
-11.9512,-77.04,43.6,31.27,-12.33,-7.975,decrecimiento,0,23.25,-8.03,20.16,-11.11,17.08,-14.19,14.0,-17.27,10.91,-20.36,urbano
-11.9512,-77.03158,13.21,14.77,1.56,2.825,crecimiento_moderado,0,15.63,0.86,16.02,1.25,16.41,1.64,16.8,2.03,17.19,2.42,peri-urbano
-11.9512,-77.02316,10.87,14.95,4.08,8.299,crecimiento_alto,0,17.8,2.85,18.82,3.87,19.84,4.89,20.86,5.91,21.88,6.93,peri-urbano
-11.9512,-77.01474,58.19,55.56,-2.63,-1.149,decrecimiento,0,48.49,-7.07,47.84,-7.72,47.18,-8.38,46.52,-9.04,45.87,-9.69,urbano
-11.9512,-77.00632,91.57,85.41,-6.16,-1.726,decrecimiento,0,72.48,-12.93,70.94,-14.47,69.4,-16.01,67.86,-17.55,66.32,-19.09,urbano_denso
-11.9512,-76.99789,96.43,111.66,15.23,3.733,crecimiento_moderado,0,110.64,-1.02,114.44,2.79,118.25,6.59,122.06,10.4,125.87,14.21,urbano_denso
-11.9512,-76.98947,101.5,107.43,5.93,1.43,crecimiento_moderado,0,100.54,-6.89,102.02,-5.41,103.51,-3.93,104.99,-2.44,106.47,-0.96,urbano_denso
-11.9512,-76.98105,45.4,62.15,16.76,8.17,crecimiento_alto,0,69.28,7.13,73.47,11.32,77.66,15.51,81.85,19.69,86.04,23.88,urbano_denso
-11.9512,-76.97263,29.25,37.53,8.28,6.427,crecimiento_alto,0,39.46,1.93,41.53,4.0,43.6,6.07,45.67,8.13,47.73,10.2,urbano
-11.9512,-76.96421,12.6,15.56,2.96,5.423,crecimiento_alto,0,17.07,1.5,17.81,2.24,18.55,2.98,19.29,3.73,20.03,4.47,peri-urbano
-11.9512,-76.95579,5.32,9.69,4.36,16.137,crecimiento_alto,0,13.05,3.36,14.14,4.45,15.23,5.54,16.32,6.63,17.41,7.72,rural
-11.9512,-76.94737,3.75,8.96,5.22,24.384,crecimiento_alto,0,12.79,3.83,14.1,5.13,15.4,6.44,16.71,7.74,18.01,9.05,rural
-11.9512,-76.93895,3.4,21.44,18.03,58.412,crecimiento_alto,0,37.73,16.3,42.24,20.81,46.75,25.31,51.26,29.82,55.77,34.33,peri-urbano
-11.9512,-76.93053,3.12,8.94,5.82,30.114,crecimiento_alto,0,13.82,4.87,15.27,6.33,16.73,7.79,18.18,9.24,19.64,10.7,rural
-11.9512,-76.92211,2.68,6.01,3.33,22.412,crecimiento_alto,0,8.33,2.32,9.16,3.15,9.99,3.99,10.83,4.82,11.66,5.65,rural
-11.9512,-76.91368,2.65,4.25,1.6,12.552,crecimiento_alto,0,5.26,1.02,5.66,1.42,6.06,1.82,6.46,2.22,6.86,2.62,rural
-11.9512,-76.90526,3.83,6.95,3.12,16.073,crecimiento_alto,0,8.68,1.73,9.46,2.51,10.24,3.29,11.02,4.07,11.8,4.85,rural
-11.9512,-76.89684,8.97,13.36,4.39,10.477,crecimiento_alto,0,15.29,1.93,16.39,3.02,17.49,4.12,18.58,5.22,19.68,6.32,peri-urbano
-11.9512,-76.88842,6.51,11.51,5.0,15.319,crecimiento_alto,0,13.91,2.4,15.16,3.65,16.41,4.9,17.66,6.15,18.92,7.4,peri-urbano
-11.9512,-76.88,3.87,7.42,3.55,17.659,crecimiento_alto,0,9.45,2.03,10.34,2.92,11.23,3.8,12.12,4.69,13.0,5.58,rural
-11.9512,-76.87158,2.77,4.83,2.07,14.976,crecimiento_alto,0,5.96,1.13,6.48,1.65,7.0,2.17,7.51,2.68,8.03,3.2,rural
-11.9512,-76.86316,2.13,3.55,1.42,13.6,crecimiento_alto,0,4.55,1.0,4.9,1.35,5.25,1.71,5.61,2.06,5.96,2.41,rural
-11.9512,-76.85474,1.95,3.09,1.14,12.252,crecimiento_alto,0,4.02,0.93,4.31,1.22,4.59,1.5,4.88,1.79,5.16,2.07,rural
-11.9512,-76.84632,1.88,3.09,1.21,13.242,crecimiento_alto,0,4.07,0.98,4.37,1.28,4.67,1.58,4.98,1.88,5.28,2.19,rural
-11.9512,-76.83789,1.9,3.13,1.23,13.281,crecimiento_alto,0,4.12,0.99,4.42,1.29,4.73,1.6,5.04,1.91,5.34,2.22,rural
-11.9512,-76.82947,1.84,3.15,1.31,14.398,crecimiento_alto,0,4.16,1.01,4.49,1.34,4.81,1.67,5.14,1.99,5.47,2.32,rural
-11.9512,-76.82105,2.11,3.01,0.89,9.233,crecimiento_alto,0,3.79,0.79,4.01,1.01,4.24,1.23,4.46,1.46,4.69,1.68,rural
-11.9512,-76.81263,2.47,4.36,1.89,15.278,crecimiento_alto,0,5.77,1.42,6.25,1.89,6.72,2.36,7.19,2.84,7.66,3.31,rural
-11.9512,-76.80421,2.14,4.86,2.72,22.783,crecimiento_alto,0,6.97,2.1,7.65,2.78,8.33,3.46,9.01,4.15,9.69,4.83,rural
-11.95964,-77.2,0.63,0.68,0.05,2.0,crecimiento_moderado,0,0.0,-0.68,0.0,-0.68,0.0,-0.68,0.0,-0.68,0.0,-0.68,rural
-11.95964,-77.19158,1.9,0.0,0.0,-84.849,decrecimiento,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.95964,-77.18316,2.38,6.27,3.89,27.429,crecimiento_alto,0,0.0,-6.27,0.0,-6.27,0.0,-6.27,0.0,-6.27,0.0,-6.27,rural
-11.95964,-77.17474,0.0,7.31,0.0,824.643,crecimiento_alto,0,0.0,-7.31,0.0,-7.31,0.0,-7.31,0.0,-7.31,0.0,-7.31,rural
-11.95964,-77.16632,4.5,8.84,4.35,18.425,crecimiento_alto,0,0.0,-8.84,0.0,-8.84,0.0,-8.84,0.0,-8.84,0.0,-8.84,rural
-11.95964,-77.15789,5.83,0.0,0.0,-88.557,decrecimiento,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-11.95964,-77.14947,7.79,27.27,19.48,36.781,crecimiento_alto,0,45.15,17.87,50.02,22.74,54.89,27.62,59.76,32.49,64.63,37.36,peri-urbano
-11.95964,-77.14105,33.53,32.75,-0.78,-0.585,estable,0,33.1,0.35,32.9,0.15,32.71,-0.04,32.51,-0.24,32.32,-0.43,urbano
-11.95964,-77.13263,70.06,88.57,18.52,6.038,crecimiento_alto,0,101.99,13.42,106.62,18.05,111.25,22.68,115.88,27.31,120.51,31.94,urbano_denso
-11.95964,-77.12421,28.41,56.0,27.59,18.493,crecimiento_alto,0,75.72,19.72,82.62,26.62,89.52,33.52,96.41,40.42,103.31,47.32,urbano
-11.95964,-77.11579,61.04,71.79,10.75,4.139,crecimiento_moderado,0,83.42,11.63,86.11,14.32,88.8,17.01,91.48,19.7,94.17,22.38,urbano_denso
-11.95964,-77.10737,98.39,113.91,15.52,3.73,crecimiento_moderado,0,121.91,8.0,125.8,11.89,129.68,15.77,133.56,19.65,137.44,23.53,urbano_denso
-11.95964,-77.09895,113.2,126.85,13.65,2.887,crecimiento_moderado,0,127.18,0.33,130.59,3.74,134.01,7.15,137.42,10.57,140.83,13.98,centro_comercial
-11.95964,-77.09053,94.84,122.3,27.46,6.563,crecimiento_alto,0,134.5,12.2,141.37,19.07,148.23,25.93,155.1,32.8,161.96,39.66,centro_comercial
-11.95964,-77.08211,84.92,113.21,28.29,7.453,crecimiento_alto,0,125.01,11.8,132.09,18.87,139.16,25.95,146.23,33.02,153.3,40.09,urbano_denso
-11.95964,-77.07368,87.98,106.01,18.03,4.77,crecimiento_moderado,0,111.51,5.5,116.02,10.01,120.52,14.51,125.03,19.02,129.54,23.53,urbano_denso
-11.95964,-77.06526,94.03,111.73,17.7,4.405,crecimiento_moderado,0,115.51,3.79,119.94,8.21,124.36,12.64,128.79,17.06,133.21,21.48,urbano_denso
-11.95964,-77.05684,41.9,49.97,8.06,4.497,crecimiento_moderado,0,55.03,5.07,57.05,7.08,59.06,9.1,61.08,11.11,63.09,13.13,urbano
-11.95964,-77.04842,32.33,45.77,13.44,9.083,crecimiento_alto,0,56.17,10.4,59.53,13.76,62.89,17.12,66.26,20.48,69.62,23.84,urbano
-11.95964,-77.04,30.0,48.27,18.27,12.625,crecimiento_alto,0,61.25,12.98,65.82,17.55,70.38,22.11,74.95,26.68,79.52,31.25,urbano
-11.95964,-77.03158,15.71,19.53,3.83,5.603,crecimiento_alto,0,21.17,1.64,22.13,2.59,23.08,3.55,24.04,4.51,25.0,5.46,peri-urbano
-11.95964,-77.02316,30.91,35.26,4.34,3.342,crecimiento_moderado,0,35.53,0.27,36.62,1.36,37.71,2.45,38.79,3.53,39.88,4.62,urbano
-11.95964,-77.01474,72.88,87.66,14.78,4.724,crecimiento_moderado,0,91.02,3.36,94.72,7.05,98.41,10.75,102.1,14.44,105.8,18.14,urbano_denso
-11.95964,-77.00632,74.91,77.46,2.55,0.841,estable,0,70.61,-6.84,71.25,-6.2,71.89,-5.57,72.53,-4.93,73.16,-4.29,urbano_denso
-11.95964,-76.99789,81.34,89.21,7.88,2.338,crecimiento_moderado,0,85.83,-3.38,87.8,-1.41,89.77,0.56,91.74,2.53,93.71,4.5,urbano_denso
-11.95964,-76.98947,59.19,80.74,21.56,8.075,crecimiento_alto,0,91.55,10.8,96.93,16.19,102.32,21.58,107.71,26.97,113.1,32.36,urbano_denso
-11.95964,-76.98105,45.15,60.73,15.58,7.692,crecimiento_alto,0,66.36,5.63,70.25,9.52,74.15,13.42,78.04,17.31,81.94,21.21,urbano_denso
-11.95964,-76.97263,28.77,40.74,11.97,9.09,crecimiento_alto,0,47.29,6.55,50.28,9.54,53.27,12.53,56.26,15.53,59.26,18.52,urbano
-11.95964,-76.96421,10.19,22.15,11.97,21.435,crecimiento_alto,0,32.13,9.98,35.12,12.97,38.11,15.96,41.1,18.95,44.1,21.94,peri-urbano
-11.95964,-76.95579,4.94,11.24,6.3,22.807,crecimiento_alto,0,15.54,4.3,17.11,5.88,18.69,7.45,20.26,9.02,21.83,10.6,peri-urbano
-11.95964,-76.94737,7.06,19.35,12.29,28.663,crecimiento_alto,0,27.31,7.96,30.38,11.03,33.46,14.1,36.53,17.18,39.6,20.25,peri-urbano
-11.95964,-76.93895,16.55,29.83,13.28,15.87,crecimiento_alto,0,38.17,8.34,41.49,11.66,44.82,14.98,48.14,18.3,51.46,21.62,peri-urbano
-11.95964,-76.93053,4.2,10.89,6.69,26.918,crecimiento_alto,0,15.64,4.75,17.31,6.42,18.98,8.1,20.66,9.77,22.33,11.44,peri-urbano
